userid,key,value
1,admin,10
366,anna_plassmann50716,0
369,bountouvis,0
371,emasdelegate,0
370,investigator2_itf49992,0
357,jocelyne_muelli54147,0
345,kd_kali28550,0
361,ludivine_simon63770,0
347,martin_nagiler89579,0
340,nicolaus_kausch86145,0
364,nina_martinez45617,0
351,nisha_itf96980,0
353,prof-dimitros-g-_goulis29878,0
355,prof-irene_lambrinoudaki20063,0
359,prof-john-c_stevenson53427,0
343,stalboom,10
356,stavroula_mouzakioti19205,0
349,stephane_talboom187929,0
348,stephane_talboom53456,0
368,stephane_talboom70293,0
337,test_itf17619,0
350,ts_itf67974,0
